date,open,high,low,close,volume,value
2001-06-19,30.83,31.67,30.83,31.45,714216,31.45
2001-06-20,30.71,33.25,30.71,31.59,1524428,31.59
2001-06-21,31.33,31.93,31.17,31.58,1017555,31.58
2001-06-22,31.42,31.67,30.87,31.29,335281,31.29
2001-06-25,31.17,31.17,30.00,30.10,213097,30.10
2001-06-26,29.85,31.83,29.85,31.69,892701,31.69
2001-06-27,32.17,32.17,30.70,30.99,336871,30.99
2001-06-28,31.00,32.00,30.33,30.72,571855,30.72
2001-06-29,30.71,31.67,30.55,31.33,999778,31.33
2001-07-02,31.63,31.67,30.83,31.16,127836,31.16
2001-07-03,31.25,31.99,30.89,31.66,1692539,31.66
2001-07-04,31.25,31.25,30.81,30.95,154714,30.95
2001-07-05,30.88,31.13,30.67,30.79,170211,30.79
2001-07-06,30.76,30.76,29.83,29.92,659025,29.92
2001-07-09,29.50,30.00,29.50,29.65,43732,29.65
2001-07-10,29.83,30.13,29.71,29.75,69363,29.75
2001-07-11,30.00,30.00,29.39,29.46,107581,29.46
2001-07-12,29.92,30.00,29.67,29.95,281794,29.95
2001-07-13,30.00,30.43,29.17,29.41,328472,29.41
2001-07-16,29.82,30.59,29.75,29.93,459139,29.93
2001-07-17,29.99,30.15,29.79,30.03,211555,30.03
2001-07-18,29.55,30.33,29.55,30.30,54291,30.30
2001-07-19,30.00,30.02,29.46,29.62,336889,29.62
2001-07-20,30.27,30.28,29.75,29.99,281848,29.99
2001-07-23,30.17,30.59,30.00,30.25,93145,30.25
2001-07-24,29.83,30.00,29.33,29.50,39628,29.50
2001-07-25,29.49,30.75,27.17,30.03,231534,30.03
2001-07-26,27.83,30.75,27.83,29.55,223693,29.55
2001-07-27,30.75,30.75,29.59,30.00,3823441,30.00
2001-07-30,30.00,31.17,29.83,30.82,225421,30.82
2001-07-31,30.02,31.33,30.02,31.03,366696,31.03
2001-08-01,30.83,30.93,29.22,29.39,405976,29.39
2001-08-02,29.33,31.06,29.01,30.12,2763882,30.12
2001-08-03,30.23,30.50,30.09,30.20,63513,30.20
2001-08-06,30.00,30.62,29.69,30.47,134441,30.47
2001-08-07,30.02,31.16,30.02,30.27,171003,30.27
2001-08-08,30.05,30.55,29.67,30.25,378155,30.25
2001-08-09,30.33,30.63,30.01,30.39,137963,30.39
2001-08-10,30.33,30.79,30.09,30.23,556064,30.23
2001-08-13,30.25,30.38,30.13,30.19,305367,30.19
2001-08-14,30.49,30.49,29.92,30.10,93385,30.10
2001-08-16,30.47,30.99,29.17,29.50,587053,29.50
2001-08-17,29.92,30.05,29.21,29.57,544419,29.57
2001-08-20,29.82,29.82,29.17,29.19,185829,29.19
2001-08-21,29.35,29.53,29.17,29.43,366420,29.43
2001-08-23,29.49,29.83,29.17,29.48,364836,29.48
2001-08-24,29.55,29.55,29.17,29.37,364182,29.37
2001-08-27,29.66,30.07,29.22,29.87,203132,29.87
2001-08-28,29.83,30.67,29.79,30.52,136715,30.52
2001-08-29,30.17,30.50,29.17,30.41,22271,30.41
2001-08-30,30.49,30.82,29.25,29.33,101323,29.33
2001-08-31,29.51,29.68,28.85,29.08,222145,29.08
2001-09-03,28.35,28.99,27.05,27.39,174135,27.39
2001-09-04,27.49,27.65,26.33,27.35,177831,27.35
2001-09-05,27.67,28.63,27.50,28.06,90031,28.06
2001-09-06,28.32,28.83,27.50,28.09,132419,28.09
2001-09-07,27.92,28.33,27.35,28.01,168976,28.01
2001-09-10,28.33,28.33,27.83,28.23,1444740,28.23
2001-09-11,27.92,27.92,26.26,26.45,191612,26.45
2001-09-12,26.33,26.33,23.81,23.83,1117876,23.83
2001-09-13,24.33,24.50,21.83,22.33,489330,22.33
2001-09-14,22.33,22.67,20.22,21.49,1052605,21.49
2001-09-17,21.33,22.49,19.71,20.49,1113460,20.49
2001-09-18,19.17,21.99,19.17,21.45,1293805,21.45
2001-09-19,22.16,22.92,21.67,21.85,964818,21.85
2001-09-20,22.09,24.03,22.00,23.06,990478,23.06
2001-09-21,22.09,24.13,22.09,23.06,610685,23.06
2001-09-24,23.92,24.09,23.55,23.76,219229,23.76
2001-09-25,25.17,26.13,24.69,25.89,635470,25.89
2001-09-26,25.83,26.33,25.12,25.83,383177,25.83
2001-09-27,26.15,26.17,24.92,25.43,521038,25.43
2001-09-28,25.75,27.17,25.17,26.77,269249,26.77
2001-10-01,27.50,27.50,26.17,26.63,334243,26.63
2001-10-03,26.00,27.00,26.00,26.65,525556,26.65
2001-10-04,27.50,28.00,26.83,27.73,857843,27.73
2001-10-05,27.55,28.47,27.17,27.47,1383015,27.47
2001-10-08,26.35,27.29,25.83,26.72,199424,26.72
2001-10-09,27.00,27.67,26.93,27.51,111708,27.51
2001-10-10,27.49,27.67,27.01,27.12,66309,27.12
2001-10-11,27.67,27.67,26.35,26.48,300735,26.48
2001-10-12,26.69,26.99,25.88,26.58,1235890,26.58
2001-10-15,26.97,27.00,26.27,26.65,513754,26.65
2001-10-16,27.50,27.50,25.05,25.23,1104437,25.23
2001-10-17,26.13,26.29,25.33,25.80,326186,25.80
2001-10-18,26.67,28.00,26.39,26.71,599634,26.71
2001-10-19,26.67,27.50,26.66,27.42,239058,27.42
2001-10-22,27.50,27.67,26.60,26.87,1530007,26.87
2001-10-23,27.49,27.49,26.85,27.17,733535,27.17
2001-10-24,27.40,27.40,27.02,27.16,560726,27.16
2001-10-25,27.40,28.17,27.17,27.53,870484,27.53
2001-10-29,27.50,29.13,27.50,28.73,1087554,28.73
2001-10-30,28.67,29.33,28.46,28.53,466393,28.53
2001-10-31,28.67,29.50,27.69,29.12,2704023,29.12
